#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.001855, 0.060917
5, 0.001679, 0.061317
5, 0.001682, 0.061553
5, 0.001653, 0.060972
5, 0.001754, 0.061186
5, 0.001673, 0.061453
5, 0.001663, 0.061398
5, 0.001724, 0.061917
5, 0.001677, 0.061019
5, 0.001684, 0.060844
5, 0.001686, 0.061489
5, 0.001677, 0.062490
5, 0.001684, 0.061918
5, 0.001698, 0.061592
5, 0.001696, 0.061810
5, 0.001675, 0.061632
5, 0.001688, 0.061464
5, 0.001672, 0.061513
5, 0.001683, 0.061059
5, 0.001695, 0.061829
5, 0.001687, 0.061320
5, 0.001678, 0.061435
5, 0.001704, 0.061774
5, 0.001691, 0.061678
5, 0.001696, 0.061523
5, 0.001683, 0.061807
5, 0.001672, 0.061625
5, 0.001665, 0.060967
5, 0.001692, 0.061085
5, 0.001662, 0.061043
5, 0.001682, 0.061503
5, 0.001704, 0.061846
5, 0.001715, 0.061700
5, 0.001708, 0.061403
5, 0.001697, 0.061348
5, 0.001693, 0.061203
5, 0.001694, 0.061651
5, 0.001701, 0.061432
5, 0.001710, 0.061731
5, 0.001688, 0.060676
5, 0.001689, 0.061302
5, 0.001662, 0.061868
5, 0.001693, 0.061770
5, 0.001734, 0.061502
5, 0.001705, 0.061596
5, 0.001699, 0.060795
5, 0.001692, 0.061836
5, 0.001681, 0.061577
5, 0.001681, 0.061351
5, 0.001715, 0.062270
5, 0.001695, 0.062089
5, 0.001716, 0.061890
5, 0.001703, 0.061743
5, 0.001712, 0.062014
5, 0.001700, 0.061223
5, 0.001696, 0.061621
5, 0.001681, 0.061918
5, 0.001689, 0.061599
5, 0.001714, 0.061943
5, 0.001677, 0.061731
5, 0.001721, 0.061245
5, 0.001734, 0.062294
5, 0.001693, 0.061481
5, 0.001689, 0.061510
5, 0.001676, 0.061045
5, 0.001695, 0.061619
5, 0.001698, 0.061647
5, 0.001717, 0.061707
5, 0.001683, 0.061314
5, 0.001683, 0.061373
5, 0.001706, 0.061563
5, 0.001698, 0.062042
5, 0.001685, 0.061674
5, 0.001698, 0.061723
5, 0.001710, 0.061487
5, 0.001708, 0.061379
5, 0.001703, 0.061818
5, 0.001696, 0.061386
5, 0.019252, 0.061774
5, 0.001691, 0.061259
5, 0.001670, 0.061387
5, 0.001671, 0.061128
5, 0.001679, 0.061657
5, 0.001688, 0.061532
5, 0.001673, 0.060886
5, 0.001670, 0.061760
5, 0.001699, 0.061831
5, 0.001710, 0.061629
5, 0.001688, 0.062188
5, 0.001695, 0.062107
5, 0.001705, 0.061468
5, 0.001675, 0.062025
5, 0.001720, 0.061504
5, 0.001668, 0.061294
5, 0.001656, 0.061396
5, 0.001696, 0.061657
5, 0.001700, 0.061412
5, 0.001680, 0.061800
5, 0.001672, 0.061649
5, 0.001693, 0.061824
